"source_database","labnr","bp","std","cal_bp","cal_std","delta_c13","lab_name","site","site_phase","site_type","feature","feature_type","periods","typochronological_units","ecochronological_units","material","species","country","lat","lng","references"
"radonb","Hv-9226","3740","45","4094","133","","","Kehlheim","Kehlheim","Grave","Grab 87","","","Late Neolithic/Early Bronze Age","","collagen, bone","menschliche Knochen","Germany                                                                                             ","48.914200000000001","11.8902",""
"radonb","GD-9445","3110","390","3317","986","","","Weltenburg-Wurzberg","Weltenburg-Wurzberg","settlement","Höhensiedlung, Wall 3; Schicht 2 zw. Pl. 1 und 2","","Ha A1","Urnfield Culture","","","","Germany                                                                                             ","48.899999999999999","11.833299999999999",""
"radonb","KI-2643","3120","66","3326","155","","","Großer Knetzberg","Großer Knetzberg","settlement","Höhensiedlung; Fl. B-6, Pl. 7","","","","","","","Germany                                                                                             ","49.960000000000001","10.519",""
"radonb","Hv-13701","2955","125","3115","296","","","Schwedenschanze bei Elfershausen","Schwedenschanze bei Elfershausen","settlement","Höhensiedlung","","","","","","","Germany                                                                                             ","50.1496","9.9474999999999998",""
"radonb","ETH-14757","3655","60","3980","160","","","Zurzach-Schosspark/Himmelreich I","Zurzach-Schosspark/Himmelreich I","","","","","Late Neolithic/Early Bronze Age","","collagen, bone","","Switzerland                                                                                         ","47.589700000000001","8.2952999999999992",""
"radonb","H-7674","4192","40","4725","119","","","Wolpertswende, Schreckensee","Wolpertswende, Schreckensee","","","","","Goldberg III | Late Neolithic/Early Bronze Age","","wood","","Germany                                                                                             ","47.880000000000003","9.5600000000000005",""
"radonb","R-78A","4580","50","5279","207","","","Lagozza","Lagozza","settlement","post, lake dwelling","","","Bronze Age","","wood","","Italy                                                                                               ","45.700000000000003","8.8000000000000007",""
"radonb","Ly-595","3850","120","4258","342","","","Les Sarrasins grotto","Les Sarrasins grotto","","Level 5b","","","","","charcoal","","France                                                                                              ","45.183","5.6974",""
"radonb","KIA-22957/1","3390","35","3632","77","","","Murska Sobota","Murska Sobota","","","","Somogyvár-Vinkovci","Early Bronze Age","","charcoal","SE 50","Slovenia                                                                                            ","46.6586","16.161899999999999",""
"radonb","KIA-30280","3885","40","4322","134","","","Pince pri Lendavi","Pince pri Lendavi","","","","Somogyvár-Vinkovci","Bronze Age | Early Bronze Age","","charcoal","SE 1645","Hungary                                                                                             ","46.527799999999999","16.523599999999998",""
"radonb","Beta-367026","3740","30","4096","108","","","Pince pri Lendavi","Pince pri Lendavi","","hearth","","Somogyvár-Vinkovci","Bronze Age | Early Bronze Age","","charcoal","SE 784","Hungary                                                                                             ","46.527799999999999","16.523599999999998",""
"radonb","Beta-367015","3060","30","3279","85","","","Pince pri Lendavi","Pince pri Lendavi","","","","Somogyvár-Vinkovci","Bronze Age | Early Bronze Age","","charcoal","SE 1057","Hungary                                                                                             ","46.527799999999999","16.523599999999998",""
"radonb","KIA-30275","3140","40","3363","106","","","Pince pri Lendavi","Pince pri Lendavi","","","","Somogyvár-Vinkovci","Bronze Age | Early Bronze Age","","charcoal","SE1183","Hungary                                                                                             ","46.527799999999999","16.523599999999998",""
"radonb","Beta-367028","2940","30","3099","97","","","Pince pri Lendavi","Pince pri Lendavi","","","","Somogyvár-Vinkovci","Bronze Age | Early Bronze Age","","charcoal","SE854","Hungary                                                                                             ","46.527799999999999","16.523599999999998",""
"radonb","Beta-367016","2810","30","2909","70","","","Pince pri Lendavi","Pince pri Lendavi","","hearth","","Somogyvár-Vinkovci","Bronze Age | Early Bronze Age","","charcoal","SE1486","Hungary                                                                                             ","46.527799999999999","16.523599999999998",""
"radonb","KIA-32879/2","2695","30","2791","55","","","Trimlini pri Lendavi","Trimlini pri Lendavi","ditch","","","","","","charcoal","SE990","Slovenia                                                                                            ","46.5428","16.4557",""
"radonb","KIA-39751","2380","25","2392","75","","","Trimlini pri Lendavi","Trimlini pri Lendavi","ditch","","","","","","charcoal","SE 311","Slovenia                                                                                            ","46.5428","16.4557",""
